파일명,라벨,관절0_x,관절0_y,관절0_vis,관절1_x,관절1_y,관절1_vis,관절2_x,관절2_y,관절2_vis,관절3_x,관절3_y,관절3_vis,관절4_x,관절4_y,관절4_vis,관절5_x,관절5_y,관절5_vis,관절6_x,관절6_y,관절6_vis,관절7_x,관절7_y,관절7_vis,관절8_x,관절8_y,관절8_vis,관절9_x,관절9_y,관절9_vis,관절10_x,관절10_y,관절10_vis,관절11_x,관절11_y,관절11_vis,관절12_x,관절12_y,관절12_vis,관절13_x,관절13_y,관절13_vis,관절14_x,관절14_y,관절14_vis,관절15_x,관절15_y,관절15_vis,관절16_x,관절16_y,관절16_vis,관절17_x,관절17_y,관절17_vis,관절18_x,관절18_y,관절18_vis,관절19_x,관절19_y,관절19_vis,관절20_x,관절20_y,관절20_vis,관절21_x,관절21_y,관절21_vis,관절22_x,관절22_y,관절22_vis,관절23_x,관절23_y,관절23_vis,관절24_x,관절24_y,관절24_vis,관절25_x,관절25_y,관절25_vis,관절26_x,관절26_y,관절26_vis,관절27_x,관절27_y,관절27_vis,관절28_x,관절28_y,관절28_vis,관절29_x,관절29_y,관절29_vis,관절30_x,관절30_y,관절30_vis,관절31_x,관절31_y,관절31_vis,관절32_x,관절32_y,관절32_vis
posture(811)_jpg.rf.FpJyREsk6UsyKLvocw2u.jpg,good,0.544389,0.392394,0.999446,0.527585,0.371398,0.999732,0.52613,0.370691,0.999636,0.524032,0.370168,0.999783,0.524139,0.373015,0.999692,0.520279,0.373614,0.99954,0.515193,0.37456,0.999712,0.491241,0.383407,0.999857,0.484549,0.390575,0.999653,0.542795,0.415134,0.999582,0.537939,0.417659,0.999659,0.442597,0.495083,0.999407,0.532778,0.497635,0.999794,0.541122,0.598767,0.02134,0.663249,0.635244,0.920774,0.681885,0.608821,0.068956,0.796928,0.60595,0.902273,0.69856,0.592655,0.11155,0.840914,0.601341,0.880288,0.711172,0.579083,0.114866,0.830951,0.579126,0.877862,0.700159,0.590558,0.108845,0.815834,0.578137,0.842256,0.513156,0.752721,0.998724,0.556874,0.78366,0.99927,0.689013,0.661273,0.140533,0.782459,0.708689,0.824232,0.690792,0.849296,0.161535,0.73279,0.895185,0.674119,0.665716,0.882439,0.213429,0.698237,0.92914,0.681292,0.757549,0.879947,0.235288,0.803411,0.933862,0.639233
sipotion_1749658646618_leaning_forward_0_44_jpg.rf.1IaX6973JavStBqL948U.jpg,bad,0.477061,0.261542,0.99871,0.49228,0.245061,0.999149,0.494813,0.24636,0.999115,0.497259,0.247983,0.999357,0.492608,0.242975,0.998903,0.4954,0.242772,0.998854,0.498051,0.242888,0.999261,0.52983,0.268273,0.999006,0.52794,0.262444,0.999271,0.483081,0.29022,0.999428,0.48357,0.287,0.999049,0.532041,0.423524,0.999022,0.586043,0.371355,0.997271,0.45395,0.629202,0.828591,0.549642,0.524264,0.025949,0.377909,0.549249,0.760109,0.452312,0.543228,0.023787,0.364254,0.537116,0.762423,0.436653,0.540844,0.042791,0.386102,0.506325,0.770021,0.426531,0.533102,0.046253,0.387274,0.50569,0.747442,0.430377,0.538892,0.052421,0.583527,0.727957,0.996156,0.60954,0.686598,0.989186,0.351799,0.73333,0.878093,0.412423,0.7153,0.157343,0.314445,0.952562,0.707685,0.344949,0.879677,0.153886,0.33681,1.006027,0.700301,0.381119,0.935195,0.290467,0.199518,0.941337,0.643871,0.261135,0.894045,0.264683
posture(214)_jpg.rf.GLkczpmp6bFWyRoJRJDT.jpg,good,0.448733,0.219462,0.999945,0.456495,0.196621,0.999962,0.460644,0.195533,0.999956,0.464589,0.194546,0.99995,0.450839,0.194729,0.999962,0.44986,0.193622,0.999957,0.449813,0.192294,0.999957,0.488066,0.197713,0.999974,0.472056,0.19614,0.999957,0.461991,0.237376,0.999967,0.453542,0.23846,0.999932,0.549549,0.308462,0.999938,0.47898,0.300912,0.999716,0.478102,0.487214,0.953409,0.444378,0.4501,0.313767,0.364456,0.496178,0.810357,0.403479,0.418836,0.390962,0.333821,0.50165,0.745455,0.393519,0.411378,0.387694,0.328056,0.491198,0.747452,0.395318,0.392506,0.35911,0.338679,0.488926,0.693963,0.405031,0.396506,0.332061,0.537262,0.580207,0.999751,0.487077,0.565381,0.999586,0.338099,0.704513,0.720008,0.320029,0.666619,0.198489,0.323828,0.924845,0.818227,0.31927,0.876288,0.158514,0.34719,0.967415,0.856174,0.343351,0.911545,0.325677,0.210677,0.950832,0.823539,0.220078,0.925171,0.223961
posture(289)_jpg.rf.qtyWkbZr8Kv0laiKesEo.jpg,bad,0.262049,0.185991,0.999464,0.242617,0.160667,0.999281,0.243843,0.154788,0.999386,0.245219,0.148682,0.999409,0.241288,0.167195,0.998723,0.241355,0.166025,0.998811,0.241345,0.164371,0.999292,0.270458,0.106537,0.99928,0.261268,0.126499,0.999583,0.291616,0.177424,0.999481,0.289263,0.186041,0.998819,0.423901,0.110046,0.999802,0.37385,0.156264,0.999393,0.498439,0.395382,0.977117,0.423474,0.378783,0.35287,0.452032,0.633999,0.889726,0.444148,0.597982,0.274724,0.458787,0.688909,0.844212,0.437974,0.630371,0.28181,0.444914,0.695263,0.847168,0.439277,0.635816,0.27785,0.452533,0.668013,0.824196,0.450834,0.638519,0.307524,0.695872,0.353414,0.999807,0.638819,0.359498,0.999244,0.720937,0.749452,0.96104,0.635707,0.665992,0.230099,0.911629,0.643685,0.854952,0.804269,0.665355,0.081155,0.921506,0.602483,0.863838,0.834515,0.641883,0.151532,0.969911,0.701811,0.726859,0.844326,0.737906,0.109589
posture(847)_jpg.rf.6pfuSsdXBd3GR2CCkA2H.jpg,bad,0.462341,0.346818,0.99369,0.482512,0.329555,0.995557,0.488431,0.330074,0.995741,0.494334,0.330888,0.996824,0.476241,0.329206,0.996059,0.47785,0.329493,0.996049,0.480023,0.329742,0.996758,0.523296,0.343294,0.99347,0.513137,0.340569,0.996665,0.475293,0.368513,0.993483,0.4698,0.368012,0.993864,0.513109,0.447396,0.998533,0.576502,0.410649,0.997478,0.384869,0.539604,0.620002,0.499407,0.50583,0.022145,0.371867,0.517105,0.268947,0.396863,0.557482,0.02651,0.370569,0.516067,0.268054,0.404502,0.579397,0.046314,0.37854,0.522712,0.264973,0.384961,0.570795,0.047434,0.38092,0.521539,0.31035,0.387887,0.568123,0.05565,0.665996,0.681842,0.998885,0.671606,0.652851,0.998898,0.407263,0.626403,0.923211,0.433705,0.596603,0.12397,0.360173,0.83009,0.918312,0.376427,0.823228,0.335249,0.377823,0.872291,0.860122,0.399917,0.854541,0.365686,0.271782,0.875193,0.870878,0.309137,0.861864,0.37013
posture(555)_jpg.rf.7quvpDdBXeIBS0nCnOsc.jpg,bad,0.678108,0.236341,0.998511,0.681604,0.207301,0.99938,0.680498,0.206,0.99933,0.678612,0.204587,0.999522,0.675568,0.203961,0.999299,0.670087,0.200642,0.999106,0.66368,0.197632,0.999309,0.633464,0.197086,0.999741,0.622293,0.195402,0.999198,0.656209,0.254775,0.998799,0.648573,0.251865,0.998931,0.526574,0.280706,0.996641,0.539177,0.335572,0.997528,0.520649,0.430645,0.011989,0.538649,0.528121,0.858002,0.62668,0.452548,0.023742,0.718547,0.548693,0.682127,0.646429,0.450129,0.038456,0.755852,0.568581,0.609547,0.661937,0.442141,0.037574,0.755016,0.54439,0.592711,0.653522,0.446199,0.035122,0.74417,0.545291,0.535889,0.362197,0.567011,0.995005,0.352444,0.599289,0.994728,0.693117,0.603764,0.169135,0.720299,0.601376,0.629675,0.587884,0.812031,0.152994,0.621092,0.831962,0.50223,0.540908,0.826374,0.183042,0.568885,0.850431,0.521717,0.639206,0.898137,0.18875,0.697193,0.923915,0.505739
posture(767)_jpg.rf.7cL0V3xjOuJuA8e4WSgj.jpg,bad,0.441172,0.423054,0.993905,0.445898,0.394075,0.994632,0.449986,0.391776,0.995458,0.45514,0.389189,0.996463,0.443231,0.395061,0.992953,0.445274,0.393488,0.993121,0.4477,0.392057,0.994421,0.492724,0.383899,0.986858,0.481661,0.388706,0.991292,0.463315,0.440002,0.991486,0.458445,0.438958,0.984123,0.57082,0.428293,0.98218,0.558048,0.447574,0.957811,0.35842,0.502403,0.877266,0.377794,0.533996,0.141631,0.142712,0.527156,0.817867,0.16634,0.534788,0.191587,0.083253,0.520957,0.763242,0.112854,0.524032,0.240291,0.079673,0.510885,0.737528,0.10153,0.5191,0.238129,0.099359,0.513679,0.718259,0.121245,0.52848,0.285137,0.782887,0.682929,0.967499,0.753758,0.668523,0.915398,0.509782,0.688936,0.926865,0.484971,0.710176,0.111241,0.360422,0.932289,0.941013,0.363157,0.922814,0.199495,0.372998,0.964604,0.864915,0.416369,0.961851,0.222343,0.243662,0.953584,0.858691,0.28145,0.934554,0.281183
sipotion_1749660946045_leaning_forward_0_92_jpg.rf.A4qWJ3xloX0wf7pMnl5A.jpg,bad,0.255617,0.444504,0.999611,0.256832,0.414511,0.999697,0.260621,0.41168,0.999741,0.26487,0.40883,0.999728,0.254469,0.415475,0.999615,0.256375,0.413415,0.999613,0.258684,0.411228,0.999688,0.301004,0.398739,0.999782,0.289833,0.401201,0.999862,0.281133,0.456304,0.999791,0.279516,0.459725,0.999715,0.384351,0.477014,0.999725,0.382935,0.447903,0.999653,0.252391,0.626378,0.969834,0.32993,0.614097,0.260743,0.188004,0.546448,0.871203,0.249956,0.617239,0.285113,0.154466,0.543703,0.835218,0.232925,0.619086,0.348344,0.176955,0.53755,0.837932,0.238859,0.608387,0.342328,0.181711,0.538547,0.832441,0.252994,0.608877,0.340678,0.561654,0.799681,0.998643,0.529441,0.759894,0.998655,0.294296,0.961695,0.933323,0.27229,0.830372,0.302837,0.449998,1.020823,0.441026,0.357343,1.000314,0.088164,0.501328,1.011568,0.530465,0.399298,1.017985,0.185257,0.418621,1.087702,0.381002,0.308267,1.075578,0.114231
posture(616)_jpg.rf.H4y8bsx8sv5VVvaN3jHg.jpg,good,0.563693,0.257121,0.999702,0.576805,0.241319,0.999787,0.581429,0.241053,0.999793,0.586192,0.240611,0.999884,0.571857,0.240794,0.999636,0.572505,0.240264,0.999533,0.573545,0.239594,0.999721,0.615402,0.247349,0.999816,0.6034,0.246139,0.999624,0.576281,0.277665,0.9998,0.569906,0.276762,0.999152,0.65223,0.354487,0.999988,0.614231,0.356557,0.99824,0.610433,0.530265,0.995554,0.533692,0.504892,0.165868,0.449144,0.563361,0.993992,0.433044,0.547806,0.226486,0.412991,0.59715,0.987991,0.402961,0.562599,0.221406,0.401927,0.580434,0.987961,0.407627,0.556797,0.223962,0.412503,0.564517,0.978798,0.414128,0.547164,0.22939,0.554539,0.619194,0.999911,0.522038,0.596867,0.99962,0.288214,0.663884,0.966477,0.29436,0.641902,0.58458,0.300777,0.867436,0.984893,0.331675,0.821678,0.509879,0.321729,0.909646,0.965517,0.398008,0.869784,0.596312,0.179025,0.907595,0.978805,0.303683,0.914552,0.560131
posture(381)_jpg.rf.HGxk6B9AlvZ5Byor8zrz.jpg,good,0.35885,0.144264,0.999432,0.35089,0.125324,0.999108,0.349948,0.124826,0.999151,0.348705,0.124528,0.999387,0.347712,0.124885,0.999301,0.34455,0.124274,0.999337,0.341051,0.123991,0.999449,0.327168,0.131331,0.999004,0.319609,0.131704,0.9993,0.352624,0.162024,0.998533,0.347893,0.161789,0.999172,0.298887,0.241105,0.998564,0.297144,0.235839,0.999707,0.358224,0.343008,0.109787,0.376208,0.351904,0.981095,0.467069,0.367556,0.157711,0.48731,0.372392,0.929705,0.487924,0.365948,0.195571,0.515324,0.375401,0.911632,0.496455,0.361008,0.20893,0.517355,0.366487,0.906387,0.486182,0.362549,0.214419,0.506371,0.366482,0.870552,0.283892,0.486432,0.997835,0.280585,0.494541,0.99841,0.416777,0.564451,0.368725,0.434276,0.563551,0.991186,0.397294,0.754963,0.678913,0.409979,0.766178,0.989457,0.380433,0.780987,0.690686,0.387769,0.796531,0.971019,0.45123,0.784626,0.797882,0.470982,0.799789,0.983222
posture(430)_jpg.rf.CMqguXjoSmK5vKruDfpb.jpg,good,0.358538,0.112893,0.999994,0.349218,0.090849,0.999993,0.348749,0.090435,0.99999,0.347941,0.08996,0.999992,0.34221,0.09052,0.999993,0.336779,0.089983,0.999991,0.330602,0.089638,0.999994,0.323679,0.099398,0.999992,0.297039,0.102349,0.999994,0.352127,0.139704,0.999983,0.343907,0.138931,0.999994,0.301168,0.248999,0.999711,0.258324,0.241,0.999981,0.319453,0.463343,0.077283,0.2918,0.467039,0.995147,0.448459,0.521565,0.087953,0.482479,0.485813,0.926818,0.49342,0.549051,0.10679,0.531697,0.503473,0.87445,0.487293,0.519082,0.107525,0.545907,0.478519,0.881887,0.472795,0.526177,0.112306,0.531007,0.472001,0.884112,0.326492,0.592237,0.998549,0.296385,0.603885,0.99907,0.586356,0.605245,0.310741,0.592151,0.607411,0.976955,0.609645,0.894726,0.302721,0.590788,0.911041,0.928418,0.565892,0.940866,0.358108,0.548313,0.958602,0.890188,0.698551,0.945954,0.344805,0.690759,0.966939,0.898816
posture(132)_jpg.rf.BpRjPl0Ned10oe1WgbRJ.jpg,bad,0.414703,0.360363,0.999832,0.422777,0.33715,0.99987,0.426899,0.335795,0.999866,0.431736,0.334131,0.999915,0.417252,0.338246,0.999879,0.41767,0.337478,0.999856,0.418313,0.33648,0.999882,0.467695,0.335815,0.99979,0.4553,0.335121,0.999853,0.432889,0.376575,0.999832,0.427007,0.378863,0.99969,0.549447,0.42052,0.999666,0.500096,0.432715,0.997084,0.482329,0.55838,0.964473,0.460041,0.55927,0.036949,0.289051,0.537026,0.955144,0.352031,0.581371,0.037289,0.247544,0.535911,0.941469,0.368552,0.594233,0.055249,0.24392,0.519541,0.938456,0.363503,0.585397,0.050868,0.259481,0.518056,0.920956,0.370239,0.583408,0.053712,0.637368,0.632698,0.998665,0.584806,0.6317,0.996001,0.351963,0.668908,0.949595,0.323103,0.681351,0.176601,0.262643,0.886927,0.9457,0.26001,0.882495,0.159376,0.286993,0.933959,0.923929,0.288666,0.930351,0.201414,0.170071,0.915304,0.912891,0.184073,0.923441,0.178299
posture(406)_jpg.rf.HMkj51midwIhrb4PaFAk.jpg,good,0.470182,0.138025,0.999703,0.482615,0.103193,0.99963,0.490845,0.100448,0.999689,0.500179,0.097427,0.999727,0.472529,0.10579,0.999537,0.472633,0.105233,0.999547,0.472942,0.104503,0.99968,0.545976,0.098641,0.999426,0.519574,0.103523,0.999737,0.49453,0.164206,0.999521,0.483807,0.166501,0.998442,0.619258,0.225977,0.999127,0.559985,0.251883,0.993755,0.491794,0.40829,0.960791,0.453801,0.434908,0.150243,0.230576,0.418739,0.929614,0.272856,0.475436,0.151933,0.175657,0.423694,0.90937,0.243292,0.492765,0.193192,0.164207,0.409409,0.911276,0.244362,0.49203,0.193118,0.192581,0.412871,0.904182,0.241412,0.471482,0.21416,0.631667,0.598179,0.994318,0.584237,0.590814,0.989432,0.21722,0.677883,0.701264,0.241031,0.707492,0.144497,0.201973,0.968255,0.766487,0.336344,0.938128,0.066869,0.235275,1.007618,0.813493,0.382762,0.950916,0.145284,0.097098,1.063761,0.655108,0.292169,1.066162,0.093779
